data1,data2
0x04,0xFDEE1D
0x04,0xFDDCEB
0x03,0xFDCBB8
0x02,0xFDBA51
0x02,0xFDA8BF
0x01,0xFD9788
0x00,0xFD8592
0xFF,0xFD73E8
0xFE,0xFD626A
0xFD,0xFD513D
0xFD,0xFD409C
0xFC,0xFD301C
0xFC,0xFD2046
0xFB,0xFD119B
0xFB,0xFD035F
0xFB,0xFCF678
0xFA,0xFCEA6E
0xFB,0xFCDF33
0xFB,0xFCD593
0xFB,0xFCCC9C
0xFB,0xFCC4EA
0xFC,0xFCBE56
0xFC,0xFCB866
0xFD,0xFCB32E
0xFE,0xFCAEE2
0xFE,0xFCAB30
0xFF,0xFCA825
0xFF,0xFCA56B
0x00,0xFCA2E0
0x00,0xFCA0F4
0x00,0xFC9EF6
0x00,0xFC9D24
0x00,0xFC9BDB
0x00,0xFC9AE0
0x00,0xFC9A8C
0x00,0xFC99E9
0x00,0xFC9A1F
0x00,0xFC9B1A
0xFF,0xFC9C59
0xFF,0xFC9E55
0xFF,0xFCA1D9
0xFF,0xFCA641
0xFF,0xFCAB7D
0xFF,0xFCB1AB
0xFF,0xFCB928
0xFF,0xFCC187
0x00,0xFCCB55
0x00,0xFCD5E3
0x00,0xFCE15B
0x01,0xFCED17
0x01,0xFCF9B3
0x02,0xFD06A8
0x02,0xFD1335
0x02,0xFD2036
0x03,0xFD2C96
0x03,0xFD38F1
0x03,0xFD44CF
0x03,0xFD4FDA
0x02,0xFD5AB7
0x02,0xFD64F9
0x01,0xFD6EBF
0x01,0xFD788B
0x00,0xFD81E8
0xFF,0xFD8B75
0xFF,0xFD9543
0xFE,0xFD9EE9
0xFD,0xFDA9BA
0xFC,0xFDB51F
0xFC,0xFDC186
0xFB,0xFDCF1B
0xFA,0xFDDD8C
0xFA,0xFDED48
0xFA,0xFDFE04
0xFA,0xFE0FCA
